Measured after call USER at Thu Mar 28 17:04:25 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	4900	327680	573440
plf_idm	jbid_io_attr	25202	1589248	3571712
plf_idm	jbid_io_attr_text_values	23823	1589248	524288
plf_idm	jbid_io_creden	4944	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	10413	1589248	1441792
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
plf_idm	jbid_io_type	5	16384	16384
plf_idm	jbid_real_props	0	16384	16384
plf_idm	jbid_realm	3	16384	16384
plf_jcr	JCR_SITEM	799261	658505728	2508144640
plf_jcr	JCR_SREF	53	16384	16384
plf_jcr	JCR_SVALUE	2524102	290308096	709427200
plf_jcr	jcrlock	11	16384	0
plf_jcr	jcrlock_D	1	16384	0
plf_jcr	jcrlocks	7	16384	0
plf_jcr	jcrlocks_D	1	16384	0
Measured after call LOGIN at Thu Mar 28 17:30:36 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	4848	327680	540672
plf_idm	jbid_io_attr	25065	1589248	3571712
plf_idm	jbid_io_attr_text_values	23865	1589248	540672
plf_idm	jbid_io_creden	4944	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	9705	1589248	1884160
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
plf_idm	jbid_io_type	5	16384	16384
plf_idm	jbid_real_props	0	16384	16384
plf_idm	jbid_realm	3	16384	16384
plf_jcr	JCR_SITEM	2071903	476053504	2614018048
plf_jcr	JCR_SREF	53	16384	16384
plf_jcr	JCR_SVALUE	2593084	299745280	733544448
plf_jcr	jcrlock	11	16384	0
plf_jcr	jcrlock_D	1	16384	0
plf_jcr	jcrlocks	7	16384	0
plf_jcr	jcrlocks_D	1	16384	0
Measured after call LOGIN at Thu Mar 28 17:45:14 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	5112	327680	540672
plf_idm	jbid_io_attr	25065	1589248	3571712
plf_idm	jbid_io_attr_text_values	24466	1589248	524288
plf_idm	jbid_io_creden	4944	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	10485	1589248	1884160
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
plf_idm	jbid_io_type	5	16384	16384
plf_idm	jbid_real_props	0	16384	16384
plf_idm	jbid_realm	3	16384	16384
plf_jcr	JCR_SITEM	2150338	495976448	2693709824
plf_jcr	JCR_SREF	53	16384	16384
plf_jcr	JCR_SVALUE	2637212	310231040	758710272
plf_jcr	jcrlock	11	16384	0
plf_jcr	jcrlock_D	1	16384	0
plf_jcr	jcrlocks	7	16384	0
plf_jcr	jcrlocks_D	1	16384	0
Measured after call LOGIN at Thu Mar 28 17:59:57 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	4848	327680	540672
plf_idm	jbid_io_attr	25065	1589248	3571712
plf_idm	jbid_io_attr_text_values	25368	1589248	524288
plf_idm	jbid_io_creden	4944	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	10557	1589248	1884160
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
plf_idm	jbid_io_type	5	16384	16384
plf_idm	jbid_real_props	0	16384	16384
plf_idm	jbid_realm	3	16384	16384
plf_jcr	JCR_SITEM	2260873	516947968	2774450176
plf_jcr	JCR_SREF	53	16384	16384
plf_jcr	JCR_SVALUE	2756287	319684608	784941056
plf_jcr	jcrlock	11	16384	0
plf_jcr	jcrlock_D	1	16384	0
plf_jcr	jcrlocks	7	16384	0
plf_jcr	jcrlocks_D	1	16384	0
Measured after call LOGIN at Thu Mar 28 18:14:36 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	5218	327680	540672
plf_idm	jbid_io_attr	25202	1589248	3571712
plf_idm	jbid_io_attr_text_values	25794	1589248	540672
plf_idm	jbid_io_creden	4944	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	10316	1589248	1884160
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
plf_idm	jbid_io_type	5	16384	16384
plf_idm	jbid_real_props	0	16384	16384
plf_idm	jbid_realm	3	16384	16384
plf_jcr	JCR_SITEM	2338686	537919488	2858336256
plf_jcr	JCR_SREF	53	16384	16384
plf_jcr	JCR_SVALUE	2874881	330186752	811155456
plf_jcr	jcrlock	11	16384	0
plf_jcr	jcrlock_D	1	16384	0
plf_jcr	jcrlocks	7	16384	0
plf_jcr	jcrlocks_D	1	16384	0
Measured after call LOGIN at Thu Mar 28 18:29:09 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	4729	327680	540672
plf_idm	jbid_io_attr	25202	1589248	3571712
plf_idm	jbid_io_attr_text_values	25604	2637824	524288
plf_idm	jbid_io_creden	5175	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	8971	1589248	1884160
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
plf_idm	jbid_io_type	5	16384	16384
plf_idm	jbid_real_props	0	16384	16384
plf_idm	jbid_realm	3	16384	16384
plf_jcr	JCR_SITEM	2393039	558891008	2935914496
plf_jcr	JCR_SREF	53	16384	16384
plf_jcr	JCR_SVALUE	3013487	340688896	836321280
plf_jcr	jcrlock	11	16384	0
plf_jcr	jcrlock_D	1	16384	0
plf_jcr	jcrlocks	7	16384	0
plf_jcr	jcrlocks_D	1	16384	0
Measured after call WIKI at Fri Mar 29 07:12:21 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	5218	327680	540672
plf_idm	jbid_io_attr	25202	1589248	3571712
plf_idm	jbid_io_attr_text_values	23823	1589248	1589248
plf_idm	jbid_io_creden	5175	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	11285	1589248	1884160
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
plf_idm	jbid_io_type	5	16384	16384
plf_idm	jbid_real_props	0	16384	16384
plf_idm	jbid_realm	3	16384	16384
plf_jcr	JCR_SITEM	2726196	774897664	3807330304
plf_jcr	JCR_SREF	19697	4816896	5849088
plf_jcr	JCR_SVALUE	3827404	439353344	1085882368
plf_jcr	jcrlock	11	16384	0
plf_jcr	jcrlock_D	1	16384	0
plf_jcr	jcrlocks	7	16384	0
plf_jcr	jcrlocks_D	1	16384	0
Measured after call CALENDAR at Fri Mar 29 14:13:21 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	5112	327680	540672
plf_idm	jbid_io_attr	25202	1589248	3571712
plf_idm	jbid_io_attr_text_values	25432	1589248	1589248
plf_idm	jbid_io_creden	4850	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	9816	1589248	1884160
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
plf_idm	jbid_io_type	5	16384	16384
plf_idm	jbid_real_props	0	16384	16384
plf_idm	jbid_realm	3	16384	16384
plf_jcr	JCR_SITEM	1937138	991952896	4340006912
plf_jcr	JCR_SREF	53	16384	16384
plf_jcr	JCR_SVALUE	4124225	479199232	1173979136
plf_jcr	jcrlock	11	16384	0
plf_jcr	jcrlock_D	1	16384	0
plf_jcr	jcrlocks	7	16384	0
plf_jcr	jcrlocks_D	1	16384	0
Measured after call CONTENT at Fri Mar 29 15:32:01 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	4848	327680	540672
plf_idm	jbid_io_attr	25202	1589248	3571712
plf_idm	jbid_io_attr_text_values	25442	1589248	1589248
plf_idm	jbid_io_creden	4850	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	9432	1589248	1884160
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
plf_idm	jbid_io_type	5	16384	16384
plf_idm	jbid_real_props	0	16384	16384
plf_idm	jbid_realm	3	16384	16384
plf_jcr	JCR_SITEM	2762659	661651456	3313451008
plf_jcr	JCR_SREF	53	16384	16384
plf_jcr	JCR_SVALUE	3308649	384778240	951664640
plf_jcr	jcrlock	11	16384	0
plf_jcr	jcrlock_D	1	16384	0
plf_jcr	jcrlocks	7	16384	0
plf_jcr	jcrlocks_D	1	16384	0
Measured after call FORUM at Fri Mar 29 17:09:18 ICT 2013
table_schema	table_name	table_rows	data_length	index_length
plf_idm	jbid_attr_bin_value	0	16384	0
plf_idm	jbid_creden_bin_value	0	16384	0
plf_idm	jbid_io	5100	327680	540672
plf_idm	jbid_io_attr	25202	1589248	3571712
plf_idm	jbid_io_attr_text_values	25483	1589248	1589248
plf_idm	jbid_io_creden	4944	442368	573440
plf_idm	jbid_io_creden_props	0	16384	16384
plf_idm	jbid_io_creden_type	2	16384	16384
plf_idm	jbid_io_props	0	16384	16384
plf_idm	jbid_io_rel	9751	1589248	1884160
plf_idm	jbid_io_rel_name	9	16384	32768
plf_idm	jbid_io_rel_name_props	27	16384	16384
plf_idm	jbid_io_rel_props	0	16384	16384
plf_idm	jbid_io_rel_type	2	16384	16384
